category,situation,prompt,response_a,response_b,human_choice
Active Listening,Friend venting,My classmate is venting to me about a hard day.,Put distractions away and ask a follow-up question before offering advice.,Share a similar hard day you had so they know you understand.,0
Empathy,Comparing struggles,My cousin is struggling with something I've been through myself.,Focus on their specific experience rather than comparing to your own.,Share your own story in detail since it might help them relate.,0
Handling Criticism,Manager feedback,My mentor gave me critical feedback on something I worked hard on.,Explain the reasons behind your choices before agreeing to change anything.,Thank them for the feedback and ask a specific question about improving.,1
Public Speaking,Losing the audience,I notice my mentor and others checking their phones while I present.,"Pause, ask a quick question to re-engage the room, then continue.",Speak faster to get through the remaining content.,0
Handling Criticism,Harsh review,I received a harsh review from my teammate that felt more personal than helpful.,Separate the useful points from the tone and ask a focused follow-up.,Dismiss the whole review since the tone felt unfair.,0
Making Friends,Group outings,I see my roommate often in groups but never one-on-one.,Talk to everyone equally and let closer bonds form on their own.,Invite them to do something just the two of you.,1
Assertiveness,Pressure to conform,My roommate is pressuring me to do something I'm not comfortable with.,Go along with it this once to avoid seeming judgmental.,"Say directly that you're not comfortable with it, without over-explaining.",1
Empathy,Bad day,My team lead is clearly having a bad day but hasn't explained why.,Check in gently and let them share as much or as little as they want.,Give them space entirely so they can process it alone.,0
Teamwork,Unequal recognition,My team lead gets recognized more than others despite similar effort.,Mention the imbalance to whoever leads recognition decisions.,Work harder to try to get noticed the same way.,0
Empathy,Public embarrassment,My close friend did something embarrassing in front of others.,"Help them move past it with a light, kind comment.",Pretend not to notice so they don't feel more embarrassed.,0
Making Friends,Long distance,My neighbor moved away and I want to keep the friendship going.,Wait for them to reach out first since they moved.,"Set a simple regular way to stay in touch, like a monthly call.",1
Nonverbal Communication,Reading the room,I want to tell if my teammate wants to keep talking or wrap up.,"Watch for cues like turning away or short answers, and offer an easy exit.",Keep the conversation going until they explicitly say they need to leave.,0
Assertiveness,Being interrupted,My team lead keeps interrupting me when I talk.,Stop bringing up points so it doesn't happen again.,"Say calmly, 'I'd like to finish my point,' the next time it happens.",1
Workplace Communication,Giving feedback up,"I need to give feedback to my cousin, who is more senior than me.",Wait for them to ask for feedback before offering any.,Frame it around impact and ask if they're open to a suggestion.,1
Conflict Resolution,Repeated issue,My study partner and I keep having the same argument about the same thing.,Sit down outside the heated moment and agree on a clear plan.,Bring up every past instance to show the pattern clearly.,0
Public Speaking,Technical explanation,"I need to explain something technical to my new employee, who isn't familiar with it.","Start with the simplest version, then add detail if they ask.",Explain it exactly the way you'd explain it to an expert.,0
